x:48.41394083316509, y:17.31682728804075, score:(0, 0, 128)
x:163.40914051349347, y:47.93221007860624, score:(0, 0, 128)
x:267.7745251288781, y:219.18702507019043, score:(0, 0, 128)
x:87.06778698701125, y:318.68702507019043, score:(0, 0, 128)
x:71.6062485254728, y:200.05240968557504, score:(0, 0, 128)
x:191.43317897503192, y:185.70144814711352, score:(0, 0, 128)
x:334.4524097442627, y:277.5476019932674, score:(0, 0, 128)
x:263.90914051349347, y:219.18702507019043, score:(0, 0, 128)
x:315.1254866673396, y:96.72547930937547, score:(0, 0, 128)
x:47.44759467931894, y:17.31682728804075, score:(0, 0, 128)
x:163.40914051349347, y:47.93221007860624, score:(0, 0, 128)
x:70.63990237162663, y:201.00914045480582, score:(0, 0, 128)
x:56.144710063934326, y:184.74471737788275, score:(0, 0, 128)
x:86.1014408331651, y:319.6437558394212, score:(0, 0, 128)
x:17.49086575324719, y:184.74471737788275, score:(0, 0, 128)
x:333.48606359041656, y:276.5908712240366, score:(0, 0, 128)
x:263.90914051349347, y:219.18702507019043, score:(0, 0, 128)
x:315.1254866673396, y:96.72547930937547, score:(0, 0, 128)
x:47.44759467931894, y:17.31682728804075, score:(0, 0, 128)
x:163.40914051349347, y:47.93221007860624, score:(0, 0, 128)
x:70.63990237162663, y:201.00914045480582, score:(0, 0, 128)
x:56.144710063934326, y:184.74471737788275, score:(0, 0, 128)
x:86.1014408331651, y:319.6437558394212, score:(0, 0, 128)
x:17.49086575324719, y:184.74471737788275, score:(0, 0, 128)
x:333.48606359041656, y:276.5908712240366, score:(0, 0, 128)
x:263.90914051349347, y:219.18702507019043, score:(0, 0, 128)
x:315.1254866673396, y:96.72547930937547, score:(0, 0, 128)
x:47.44759467931894, y:17.31682728804075, score:(0, 0, 128)
x:163.40914051349347, y:47.93221007860624, score:(0, 0, 128)
x:70.63990237162663, y:201.00914045480582, score:(0, 0, 128)
x:56.144710063934326, y:184.74471737788275, score:(0, 0, 128)
x:86.1014408331651, y:319.6437558394212, score:(0, 0, 128)
x:17.49086575324719, y:184.74471737788275, score:(0, 0, 128)
x:333.48606359041656, y:276.5908712240366, score:(0, 0, 128)
x:263.90914051349347, y:219.18702507019043, score:(0, 0, 128)
x:315.1254866673396, y:96.72547930937547, score:(0, 0, 128)
x:47.44759467931894, y:17.31682728804075, score:(0, 0, 128)
x:163.40914051349347, y:47.93221007860624, score:(0, 0, 128)
x:70.63990237162663, y:201.00914045480582, score:(0, 0, 128)
x:56.144710063934326, y:184.74471737788275, score:(0, 0, 128)
x:86.1014408331651, y:319.6437558394212, score:(0, 0, 128)
x:17.49086575324719, y:184.74471737788275, score:(0, 0, 128)
x:333.48606359041656, y:276.5908712240366, score:(0, 0, 128)
x:263.90914051349347, y:219.18702507019043, score:(0, 0, 128)
x:315.1254866673396, y:96.72547930937547, score:(0, 0, 128)
x:47.44759467931894, y:17.31682728804075, score:(0, 0, 128)
x:163.40914051349347, y:47.93221007860624, score:(0, 0, 128)
x:70.63990237162663, y:201.00914045480582, score:(0, 0, 128)
x:56.144710063934326, y:184.74471737788275, score:(0, 0, 128)
x:86.1014408331651, y:319.6437558394212, score:(0, 0, 128)
x:17.49086575324719, y:184.74471737788275, score:(0, 0, 128)
x:333.48606359041656, y:276.5908712240366, score:(0, 0, 128)
x:263.90914051349347, y:219.18702507019043, score:(0, 0, 128)
x:315.1254866673396, y:96.72547930937547, score:(0, 0, 128)
x:47.44759467931894, y:17.31682728804075, score:(0, 0, 128)
x:163.40914051349347, y:47.93221007860624, score:(0, 0, 128)
x:70.63990237162663, y:201.00914045480582, score:(0, 0, 128)
x:56.144710063934326, y:184.74471737788275, score:(0, 0, 128)
x:86.1014408331651, y:319.6437558394212, score:(0, 0, 128)
x:17.49086575324719, y:184.74471737788275, score:(0, 0, 128)
x:333.48606359041656, y:276.5908712240366, score:(0, 0, 128)
